id,ipo_id,object_id,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,source_url,source_description,created_at,updated_at
52,61,c:3277,,USD,,USD,17/7/2003,BNG,,,3/7/2008 08:03:46,3/3/2012 20:32:38
53,62,c:7872,970000000,USD,,USD,14/9/2006,JP:2121,,,7/7/2008 17:35:57,27/1/2013 04:50:59
54,63,c:41,,USD,,USD,13/1/1978,NYSE:GCI,,,28/7/2008 09:25:33,4/10/2013 13:42:58
55,64,c:8931,,USD,,USD,18/8/2000,NASDAQ:EQIX,,,4/9/2008 20:27:54,16/4/2012 03:48:16
56,65,c:840,,USD,,,,VCLK,,,21/10/2008 23:28:59,21/10/2008 23:28:59
57,66,c:570,,USD,,USD,28/6/1988,NYSE:SSP,http://www.scripps.com/node/429,E.W. Scripps' Company Website,22/10/2008 19:56:53,9/12/2013 21:50:30
58,67,c:3275,,USD,,USD,17/11/1995,NASDAQ:SNDK,,,24/11/2008 20:44:43,16/4/2012 02:54:58
59,68,c:1066,,USD,,,,DNA,,,10/12/2008 19:05:54,10/12/2008 19:05:54
60,70,c:2390,,USD,,USD,19/3/1999,NASDAQ:INFY,,,10/12/2008 19:16:08,12/4/2012 04:59:17
61,71,c:28,,USD,,USD,23/2/1990,NASDAQ:CSCO,,,10/12/2008 19:19:25,12/4/2012 04:17:28
62,72,c:851,,USD,,,,ERTS,,,10/12/2008 19:21:01,10/12/2008 19:21:01
63,73,,,USD,,,,ERTS,,,10/12/2008 19:21:01,10/12/2008 19:21:05
64,74,c:851,,USD,,,,NASDAQ:ERTS,,,10/12/2008 19:21:06,25/11/2010 09:17:38
65,75,c:5208,,USD,,USD,29/1/1999,NASDAQ:NVDA,,,10/12/2008 19:34:17,16/4/2012 03:16:41
66,76,c:4843,,USD,,USD,,NASDAQ:VZ,,,10/12/2008 19:36:06,8/2/2013 04:31:27
67,77,c:71,,USD,,USD,13/1/1978,NASDAQ:INTC,,,10/12/2008 19:38:50,12/4/2012 03:53:33
68,78,c:15609,1.0896E+11,JPY,,,17/12/2008,3632,,,22/12/2008 21:31:45,8/10/2010 06:47:07
69,80,c:6651,,USD,,,,CPWR,,,6/1/2009 15:19:44,7/1/2009 17:30:55
70,81,c:3161,5440000000,USD,,,7/11/2011,RAX,,,14/1/2009 20:52:52,8/11/2011 09:34:40
71,82,c:4498,,USD,,,,DT,,,20/1/2009 22:04:21,20/1/2009 22:04:21
72,83,c:2334,,USD,,,1/9/1999,TIVO,,,20/1/2009 23:07:01,20/1/2009 23:07:55
73,86,c:1926,,USD,,,3/4/2007,SCOR,,,20/1/2009 23:26:59,20/1/2009 23:27:51
74,87,c:4019,,USD,,USD,13/4/2000,NASDAQ:SINA,,,20/1/2009 23:41:16,10/4/2012 04:16:17
75,88,c:17289,,USD,,,1/6/1999,QPSA (AMEX),,,20/1/2009 23:43:47,13/11/2011 18:47:48
76,89,c:5040,,USD,,USD,5/11/1993,NASDAQ:ATVI,,,20/1/2009 23:47:12,16/4/2012 02:44:34
77,90,c:5182,,USD,,USD,2/1/1990,NASDAQ:ADSK,,,20/1/2009 23:59:17,11/4/2012 04:14:31
78,91,c:7030,,USD,,USD,5/7/1996,NASDAQ:CHKP,,,27/1/2009 20:44:23,13/4/2012 05:12:49
79,92,c:6292,,USD,,USD,16/10/1998,NYSE:GIB,http://deitkppmvydm.com/,akxZoAgo,27/1/2009 21:02:04,28/7/2012 04:16:47
