id,object_id,degree_type,subject,institution,graduated_at,created_at,updated_at
38,p:6263,BS,Administration in Management/Marketing,Long Island University,1/1/2003,27/2/2008 00:36:39,27/2/2008 00:36:39
39,p:5553,BA,Film and Television,Savannah College of Art and Design,1/1/2007,27/2/2008 00:50:08,27/2/2008 00:50:08
40,p:219,BS,Computer Science,University of Minnesota,,27/2/2008 21:09:34,27/2/2008 21:09:34
41,p:6659,BS,Linguistics,University of Western Australia,1/1/1995,27/2/2008 22:48:51,27/2/2008 22:48:51
42,p:6660,BS,Civil Engineering,"University of California, Berkeley",,27/2/2008 23:02:13,27/2/2008 23:02:13
43,p:6660,MBA,,"University of California, Los Angeles (UCLA), Anderson School of",,27/2/2008 23:02:13,27/2/2008 23:02:13
44,p:6678,BS,Computer Engineering,University of Waterloo,1/1/1994,28/2/2008 04:44:54,27/6/2013 06:48:14
45,p:6700,BA,"Anthropology, English",Hunter College,1/1/2000,28/2/2008 21:15:28,28/2/2008 21:15:28
46,p:5058,BS,Boston College,Political Science & Economics,,28/2/2008 23:15:20,28/2/2008 23:15:20
47,p:2216,,Management Science,Stanford University,,28/2/2008 23:16:26,12/8/2013 06:04:49
48,p:2216,BS,Computer Science,Stanford University,,29/2/2008 00:46:28,29/2/2008 00:46:28
49,p:6729,BA (Hons) First Class,Media and Communication,University of Central England,1/1/1998,29/2/2008 08:09:25,29/2/2008 08:09:25
50,p:5918,BS,Organizational Leadership & Information Technology,Duquesne University,,29/2/2008 08:23:01,29/2/2008 08:23:01
51,p:5920,BS,Mathematics,SUNY/Buffalo,,1/3/2008 21:16:18,1/3/2008 21:16:18
52,p:5920,PhD,Computer Science,Northwestern University,,1/3/2008 21:16:19,1/3/2008 21:16:19
53,p:6135,BS,Physics,Tel Aviv University,1/1/1988,1/3/2008 21:23:39,1/3/2008 21:23:39
54,p:2371,BE,Electrical Engineering and Computer Science,"University of California, Berkeley",,1/3/2008 21:37:10,1/3/2008 21:37:10
